Player,Nation,Pos,Age,MatchesPlayed,PlayedStarting11,MinutesPlayed,GoalsScored,AssistsProvided,GoalsAssists,NonPenaltyGoals,GoalsFromPenalty,PenaltyKicksAttempted,YellowCards,RedCards,ExpectedGoals_xG,ExpectedNonPenaltyGoals,ExpectedAssistsProvided,ExpectedNonPenaltyGoalsAssistsProvided,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAssistsPer90Minutes,NonPenaltyGoalsPer90Minutes,NonPenaltyGoalsAssistsPer90Minutes,ExpectedGoalsPer90Minutes,ExpectedAssitsPer90Minutes,ExpectedGoalsAssitsPer90Minutes,NonPenaltyExpectedGoalsPer90Minutes,NonPenaltyExpectedGoalsAssistsPer90Minutes,InterceptionsPerGame,TacklesPerGame,DribbledPastPerGame,ClearancesPerGame,GroundDuelsWon,AerialDuelsWon
Junior Messias,Brazil,Midfielder,31,36,22,1932,6,2,8,6,0,0,3,0,2.7,2.7,1.2,3.8,61,60,163,0.28,0.09,0.37,0.28,0.37,0.13,0.06,0.19,0.13,0.19,0.3,1,0.6,1,54%,38%
Alexis Saelemaekers,Belgium,Midfielder,23,39,19,1840,4,3,7,4,0,0,2,0,3,3,4.5,7.4,65,61,169,0.2,0.15,0.34,0.2,0.34,0.15,0.23,0.38,0.15,0.38,0.6,1,0.7,0.2,46%,64%
Malick Thiaw,Germany,Defender,20,24,18,1637,0,0,0,0,0,0,7,0,1.6,1.6,0.3,1.9,7,74,2,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,0.6,1.6,0.5,3.3,57%,67%
Simon Kjaer,Denmark,Defender,33,24,19,1578,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.4,5,59,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,0.5,0.9,0.2,2,57%,58%
Charles De Ketelaere,Belgium,Midfielder,21,40,13,1497,0,1,1,0,0,0,3,0,2.6,2.6,2,4.5,52,66,84,0,0.06,0.06,0,0.06,0.17,0.13,0.3,0.17,0.3,0.1,0.8,0.5,0.3,48%,39%
Ante Rebic,Croatia,Forward,28,31,12,1241,3,2,5,3,0,0,4,0,4.3,4.3,2.5,6.7,27,45,119,0.22,0.15,0.36,0.22,0.36,0.31,0.18,0.49,0.31,0.49,0,0.4,0.3,0.2,42%,44%
Divock Origi,Belgium,Forward,27,36,10,1207,2,1,3,2,0,0,2,0,2.8,2.8,1.4,4.2,29,22,88,0.15,0.07,0.22,0.15,0.22,0.21,0.1,0.32,0.21,0.32,0,0.4,0.2,0.5,45%,31%
Tommaso Pobega,Italy,Midfielder,23,28,10,1122,3,0,3,3,0,0,5,0,2.1,2.1,0.3,2.4,10,43,26,0.24,0,0.24,0.24,0.24,0.18,0.03,0.21,0.18,0.21,0.5,1.4,0.4,0.6,44%,39%
Matteo Gabbia,Italy,Defender,22,17,9,900,1,0,1,1,0,0,3,0,0.4,0.4,0,0.4,3,22,1,0.1,0,0.1,0.1,0.1,0.04,0,0.04,0.04,0.04,0.4,1.4,0.2,2.2,67%,75%
Fodo Ballo-Toure,Senegal,Defender,25,14,6,658,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.9,14,27,38,0.14,0,0.14,0.14,0.14,0.08,0.03,0.12,0.08,0.12,0.2,1.4,0.3,0.3,58%,72%
Sergino Dest,USA,Defender,21,14,4,642,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,14,20,15,0,0,0,0,0,0.1,0.08,0.19,0.1,0.19,0.5,1.5,0.1,0.1,55%,75%
Aster Vranckx,Belgium,Midfielder,19,10,3,322,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,2,4,5,0,0,0,0,0,0.02,0.11,0.12,0.02,0.12,0.2,0.3,0.6,0.1,31%,44%
Alessandro Florenzi,Italy,Defender,31,6,2,203,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.2,1,10,19,0,0,0,0,0,0.34,0.21,0.54,0.34,0.54,0.7,1,0.5,0.2,54%,100%
Zlatan Ibrahimovic,Sweden,Forward,40,4,1,146,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,4,10,0.62,0,0.62,0,0,0.72,0.11,0.84,0.24,0.35,0,0,0,0.5,14%,67%
Yacine Adli,France,Midfielder,22,6,1,144,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0,0,0,0,0,0.05,0.16,0.22,0.05,0.22,0.2,1,0,0.2,50%,25%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelmagyarázat:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fbref.com/en/squads/b8fd03ef/2024-2025/c8/Manchester-City-Stats-Champions-League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
