?"Activitatea","Tev?kenys?g","Activity","Year","Value"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2014","919"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2015","999"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2016","1037"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2017","1068"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2018","1018"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2019","1016"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2020","989"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2021","978"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2022","971"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2023","1018"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2013","491"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2014","555"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2015","582"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2016","757"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2017","671"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2018","886"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2019","900"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2020","987"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2021","1064"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2022","1199"
"Alte ramuri ale industriei prelucr?toare","Feldolgoz?ipar egy?b ?gai","Other branches of manufacturing","2023","1288"
