?"County","CountyCode","Year","Total","Male","Female"
"Feminin","Hunedoara","2017","4.6","3.8","3.4"
"Feminin","Hunedoara","2018","3.8","3.4","4"
"Feminin","Hunedoara","2019","3.4","4","4.3"
"Feminin","Hunedoara","2020","4","4.3","4.5"
"Feminin","Hunedoara","2021","4.3","4.5","undefined"
"Feminin","Hunedoara","2022","4.5","undefined","undefined"
"Feminin","Timis","2000","7.2","6.3","3.8"
"Feminin","Timis","2001","6.3","3.8","3.5"
"Feminin","Timis","2002","3.8","3.5","2.6"
"Feminin","Timis","2003","3.5","2.6","2.3"
"Feminin","Timis","2004","2.6","2.3","2"
"Feminin","Timis","2005","2.3","2","1.8"
"Feminin","Timis","2006","2","1.8","1.9"
"Feminin","Timis","2007","1.8","1.9","5"
"Feminin","Timis","2008","1.9","5","3.8"
"Feminin","Timis","2009","5","3.8","2.1"
"Feminin","Timis","2010","3.8","2.1","2.2"
"Feminin","Timis","2011","2.1","2.2","2.1"
"Feminin","Timis","2012","2.2","2.1","1.8"
"Feminin","Timis","2013","2.1","1.8","1.5"
"Feminin","Timis","2014","1.8","1.5","1.3"
"Feminin","Timis","2015","1.5","1.3","1.2"
"Feminin","Timis","2016","1.3","1.2","1"
"Feminin","Timis","2017","1.2","1","1"
"Feminin","Timis","2018","1","1","1.6"
"Feminin","Timis","2019","1","1.6","1"
"Feminin","Timis","2020","1.6","1","0.9"
"Feminin","Timis","2021","1","0.9","undefined"
"Feminin","Timis","2022","0.9","undefined","undefined"
