?"Categoria","Kateg?ria","Category","Year","Value"
"Hoteluri ?i restaurante","Sz?llod?k ?s ?ttermek","Hotels and restaurants","2023","898"
"Hoteluri ?i restaurante","Sz?llod?k ?s ?ttermek","Hotels and restaurants","2024","1085"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2013","8564"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2014","8822"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2015","9308"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2016","9398"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2017","10152"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2018","10746"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2019","10582"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2020","10746"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2021","13580"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2022","14352"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2023","15421"
"Intermedieri financiare ?i asigur?ri","P?nz?gyi k?zvet?t?s ?s biztos?t?s","Financial intermediation and insurance","2024","17457"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2013","4390"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2014","4019"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2015","4134"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2016","3704"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2017","3321"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2018","3441"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2019","3481"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2020","3419"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2021","4161"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2022","4356"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2023","4940"
"Tehnologia informa?iei ?i comunica?ii","Inform?ci?s ?s kommunik?ci?s technol?gia","Information technology and communications","2024","5083"
"Transporturi","Sz?ll?t?s","Transportation","2013","971"
"Transporturi","Sz?ll?t?s","Transportation","2014","1080"
"Transporturi","Sz?ll?t?s","Transportation","2015","1124"
"Transporturi","Sz?ll?t?s","Transportation","2016","1247"
"Transporturi","Sz?ll?t?s","Transportation","2017","1281"
"Transporturi","Sz?ll?t?s","Transportation","2018","1274"
"Transporturi","Sz?ll?t?s","Transportation","2019","1484"
"Transporturi","Sz?ll?t?s","Transportation","2020","1426"
"Transporturi","Sz?ll?t?s","Transportation","2021","1453"
"Transporturi","Sz?ll?t?s","Transportation","2022","1484"
"Transporturi","Sz?ll?t?s","Transportation","2023","1766"
"Transporturi","Sz?ll?t?s","Transportation","2024","1958"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2013","310"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2014","418"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2015","444"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2016","516"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2017","462"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2018","552"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2019","448"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2020","438"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2021","793"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2022","883"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2023","766"
"Alte activit??i","Egy?b tev?kenys?gek","Other activities","2024","640"
