?"Activitate","Tev?kenys?g","Activity","Year","Value"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2019","1925"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2020","1920"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2021","2288"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2022","2487"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2023","2457"
"Metalurgie","Koh?szat","Metallurgy","2013","2435"
"Metalurgie","Koh?szat","Metallurgy","2014","2823"
"Metalurgie","Koh?szat","Metallurgy","2015","2672"
"Metalurgie","Koh?szat","Metallurgy","2016","2898"
"Metalurgie","Koh?szat","Metallurgy","2017","3153"
"Metalurgie","Koh?szat","Metallurgy","2018","3163"
"Metalurgie","Koh?szat","Metallurgy","2019","3167"
"Metalurgie","Koh?szat","Metallurgy","2020","3191"
"Metalurgie","Koh?szat","Metallurgy","2021","3244"
"Metalurgie","Koh?szat","Metallurgy","2022","3380"
"Metalurgie","Koh?szat","Metallurgy","2023","3490"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2013","3322"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2014","2708"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2015","3309"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2016","4684"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2017","5626"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2018","5441"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2019","5732"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2020","6088"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2021","6736"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2022","7213"
"Mijloace De Transport","K?zleked?si Eszk?z?k","Means Of Transport","2023","7820"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2013","3687"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2014","3679"
